"avatar","fullname","id","images/0","images/1","images/2","images/3","images/4","images/5","images/6","images/7","isQuote","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","links/12","links/13","links/14","links/15","links/16","links/17","links/18","links/19","links/20","links/21","links/22","links/23","links/24","links/25","links/26","links/27","links/28","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/links/6","quotedTweet/links/7","quotedTweet/links/8","quotedTweet/links/9","quotedTweet/links/10","quotedTweet/links/11","quotedTweet/links/12","quotedTweet/links/13","quotedTweet/links/14","quotedTweet/links/15","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","retweets","searchQuery","text","timestamp","url","username","verified"
"https://pbs.twimg.com/profile_images/1682211203056017408/LluW4xq3.jpg","Trevor Olson","1720318358619410444",,,,,,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Palestine","i mean of course the jew's came in and added this.. their our bankers, lawyers, our accountants, media moguls, their our leaders and politicians, our ceo's and company investors.... but they never claimed PALESTINE AS A COUNTRY. SO LETS GO GET IT BOYS, ITS OURS!","2023-11-03T05:53:00.000Z","https://twitter.com/Trevv619/status/1720318358619410444","@Trevv619","false"
"https://pbs.twimg.com/profile_images/1719112166740205568/IJ-4f4g6.jpg","rodrigo 🇬🇹","1720318358078578992",,,,,,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Palestine","🚧🚧Hala Madrid, let’s go LakeShow, and FREE PALESTINE🚧🚧 see y’all 👊","2023-11-03T05:53:00.000Z","https://twitter.com/reuspeed16/status/1720318358078578992","@reuspeed16","false"
"https://pbs.twimg.com/profile_images/1538804623758266368/Ijl7pM9D.jpg","Anwar M. Khaliif","1720318357918945502","https://pbs.twimg.com/media/F9_MbQpW0AA97Nh.jpg",,,,,,,,"false","false","0","https://twitter.com/HamzaAbdiBarre","https://twitter.com/Aljazeeraquds","https://twitter.com/AlArabiya","https://twitter.com/search?q=%23غزة_تنتصر","https://twitter.com/search?q=%23Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Palestine","@HamzaAbdiBarre 

@Aljazeeraquds @AlArabiya #غزة_تنتصر #Palestine","2023-11-03T05:53:00.000Z","https://twitter.com/kibirhaye/status/1720318357918945502","@kibirhaye","false"
"https://pbs.twimg.com/profile_images/1707074179978371072/RdTDEACT.jpg","Irza Khan","1720270825100816765",,,,,,,,,"false","true","32","https://twitter.com/search?q=%23طوفان_الاقصٰی_سندھ_امن_کانفرنس",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","0","15","Palestine","Raise your voice for Palestine🇯🇴
Pakistan Stand with Palestine 🇯🇴
Free free Palestine
#طوفان_الاقصٰی_سندھ_امن_کانفرنس","2023-11-03T02:45:00.000Z","https://twitter.com/irz__a/status/1720270825100816765","@irz__a","true"
"https://pbs.twimg.com/profile_images/1716614910690377728/n85Iushr.jpg","Ribbon !!","1719050312080609522",,,,,,,,,"true","true","33963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","The White House",,,,,,,,,,,,,,,,,,,,,"The restoration of communications in Gaza was critical. 

Aid workers, civilians, and journalists need to be able to communicate to each other and the rest of the world. Our Administration cared about this, worked on it, and are glad to see it restored.","2023-10-29T22:39:00.000Z","https://twitter.com/WhiteHouse/status/1718759564160479396","@WhiteHouse","28","26","19397","Palestine","Please don't believe this !! Palestine restored their internet THEMSELVES. No way did America do anything to help out.","2023-10-30T17:55:00.000Z","https://twitter.com/minoridarling/status/1719050312080609522","@minoridarling","true"
"https://pbs.twimg.com/profile_images/1250131743937564673/mCLwvgW8.jpg","Dr. Omar Suleiman","1719334660017094871","https://pbs.twimg.com/media/F9xAzMLWYAA850C.jpg",,,,,,,,"true","true","103688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Amnesty International","https://pbs.twimg.com/media/F9xAzMLWYAA850C.jpg",,,,,,,,,,,,,,,,,,,,"A new Amnesty investigation has found that the Israeli army indiscriminately, and therefore unlawfully, used white phosphorous in an attack on Dhayra in south Lebanon on 16 October. 

The attack must be investigated as a war crime.","2023-10-31T11:48:00.000Z","https://twitter.com/amnesty/status/1719320410322550886","@amnesty","271","593","65264","Palestine","This should be front page news in mainstream media. But it probably won’t even warrant mention in this climate. Crazy.","2023-10-31T12:45:00.000Z","https://twitter.com/omarsuleiman504/status/1719334660017094871","@omarsuleiman504","true"
"https://pbs.twimg.com/profile_images/1719145356330663936/f0-VL-7t.jpg","Kedelai Hitam","1719157376304197857",,,,,,,,,"false","true","335","https://twitter.com/search?q=%23Repost","https://twitter.com/search?q=%23FreePalestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","7","230","Israel","Dari dulu Nggak ada yg namanya Israel, israel itu nggak ada.
Di peta dunia aja adanya Palestina. Tau-tau ada yang ngaku-ngaku itu tanahnya dia, terus ngusir-ngusir penduduk aslinya, tapi sok playing victim.
Dasar yahudi gak tau diri.

#Repost IG @.ayahebrahma 

#FreePalestine","2023-10-31T01:00:00.000Z","https://twitter.com/FuchsiaNately/status/1719157376304197857","@FuchsiaNately","false"
"https://pbs.twimg.com/profile_images/585990406745096192/MB6Rv7GR.jpg","DESH DEEPAK VERMA","1720318571237294137",,,,,,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","Israel","Tum Israel walo ki lasshe dek ke khush hoti ho wo tum logo ki hisab barabar","2023-11-03T05:54:00.000Z","https://twitter.com/DDBhav/status/1720318571237294137","@DDBhav","false"
"https://pbs.twimg.com/profile_images/1568999716112719874/eb_znnx7.jpg","El Ciudadano","1720050371056263428",,,,,,,,,"false","true","5785","https://twitter.com/search?q=%23Desatado","https://www.elciudadano.com/actualidad/ivan-moreira-tildo-de-nazi-a-jose-antonio-kast-por-defender-a-israel-apoyas-el-genocidio-palestino-y-despues-te-vas-a-golpear-el-pecho-a-la-iglesia-hipocrita/11/02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"345","461","1278","Israel","🔴 #Desatado Iván Moreira tildó de nazi a José Antonio Kast por defender a Israel: «Apoyas el genocidio palestino y después te vas a golpear el pecho a la iglesia, hipócrita» 
