fullname,id,likes,quotes,replies,retweets,searchQuery,text,timestamp,username,verified
MaceAhSAG-Aftra 👻,1720175588575514745,909,5,12,150,Israel,"Saying “Muslim countries don’t even support LGBT people” as an attempted talking point to make people agree with Israel committing genocide is fucked up on its own, 

But it’s also hilariously audacious because gay marriage is illegal in Israel.",2023-11-02T20:26:00.000Z,@MaceAhWindu,FALSE
Al Jazeera English,1720289705835540518,668,11,57,472,Israel,"“Israel has carried out the war crime of collective punishment and continues to do that.” 

Yasmine Ahmed, UK Director of Human Rights Watch tells Al Jazeera of the dire situation for the children of Gaza ⤵️",2023-11-03T04:00:00.000Z,@AJEnglish,TRUE
Talkingfrog,1720318748857688301,0,0,0,0,Israel,While the Iranian stooge leader won’t be there it looks like a lot of other stooges will be. A target rich environment. I wonder if loitering drones will be around in case Iran chooses to launch these particular dogs at Israel.,2023-11-03T05:55:00.000Z,@Talkingfrog1570,FALSE
Ali Abunimah is now on bluesky,1720165477295472800,429,11,25,240,Israel,"Summary of Reichminister @HabeckPress speech: Because Germany committed genocide against the Jews in the past, it is today our solemn duty, nay our very raison d’etre, to support Jews in Israel when they commit genocide now.",2023-11-02T19:46:00.000Z,@AliAbunimah,TRUE
ædydx,1718610346146238565,42,0,1,2,Israel,Palestine was basically israel because of what? star of david? explain how Barbarossa flag then,2023-10-29T12:46:00.000Z,@hfzulaidil,FALSE
ㅤ ㅤ  ㅤㅤ🌏 ＜br /＞空兒,1720318748463141014,0,0,0,0,Israel,"Hundreds of people posting this saying Israel can't possible win, while also crying about imminent genocide. Which one is it?",2023-11-03T05:55:00.000Z,@Nin_99,TRUE
Quds News Network,1720217748922335436,1599,48,59,1455,Israel,"Activists continue calling for a #boycott of brands that support #Israel despite its war crimes. 
This is a viral video in #Bangladesh.
#Gazagenocide.",2023-11-02T23:14:00.000Z,@QudsNen,TRUE
StopAntisemitism,1719482046454571439,20740,756,2868,9229,Israel,"Upper West Side NYC - “f*ck you and f*ck Israel” … other woman “f*ck you b*tch … f*ck you and Israel” while both tearing down posters of kidnapped Israeli children taken by Hamas terrorists.

Help identify them!",2023-10-31T22:30:00.000Z,@StopAntisemites,TRUE
Abier,1720289824089723151,1494,62,63,972,Israel,"This is the most accurate and realistic  
Interview played on US MSM. Can’t believe it 

We need to blast this video to get it to more people. 

#Israel #Gaza",2023-11-03T04:00:00.000Z,@abierkhatib,FALSE
SW News - SOFT WAR NEWS,1720236626801205327,1284,30,35,617,Israel,"🇮🇶 Perlawanan Irak menyerang Israel dari sisi laut mati.

🇱🇧 Perlawanan Lebanon menyerang Israel dari utara.

🇾🇪 Perlawanan Yaman menyerang Israel dari selatan.

🇸🇾 Perlawanan Suriah menyerang Israel dari Golan.

🇵🇸 Gaza tidak sendirian.",2023-11-03T00:29:00.000Z,@SoftWarNews,FALSE
Arnaud Bertrand,1720303820910342644,300,26,35,151,Israel,"Looks like Israel might be outlawing opposition to the war: 
timesofisrael.com/minister-r…

They unveiled a new law ""that would allow Israel to strip individuals of citizenship if they express solidarity with terror groups or incite terror during times of war. The law would give the interior minister special war-time powers allowing them to remove the citizenship of individuals deemed to be supporting or encouraging terrorism. Rather than go to the courts, the minister would only need the approval of the justice minister"".

It obviously depends how they define ""expressing solidarity with terror groups"" but given the fact the interpretation of it seems to be at the discretion of the current government - bypassing due legal process in court - it's fair to assume the definition will be very broad... For instance it'd be easy to make the case that someone who opposes the assault on Gaza for the enormous amount of civilian deaths is ""expressing solidarity with Hamas""... At the very least, such legislation will likely intimidate people into not voicing opposition, for fear of it being interpreted that way by the current far-right Netanyahu government, who again would do the interpreting...

""The only democracy in the Middle East"" 🙄",2023-11-03T04:56:00.000Z,@RnaudBertrand,TRUE
arjun🐠 on hiatus,1720165048105001186,680,0,0,568,Palestine,please don't stop being angry for what's happening in Palestine. please don't stop being angry for these war crimes. please don't stop being angry for all the innocent lives we're losing.,2023-11-02T19:44:00.000Z,@daybreaklynx,TRUE
